word,colour,type,block_identity,correct_response,subject_number,randomid,session_code,session_time,trial_number,trial_start_time,time_of_first_t,stimulus_on,response_on,stimulus_off,response,accuracy,rt,iti_on,iti_off,iti_dur
blue,red,incongurent,incongurent,r,,,,,,,,,,,,,,,,
blue,red,incongurent,incongurent,r,,,,,,,,,,,,,,,,
blue,red,incongurent,incongurent,r,,,,,,,,,,,,,,,,
blue,red,incongurent,incongurent,r,,,,,,,,,,,,,,,,
blue,green,incongurent,incongurent,g,,,,,,,,,,,,,,,,
blue,green,incongurent,incongurent,g,,,,,,,,,,,,,,,,
blue,green,incongurent,incongurent,g,,,,,,,,,,,,,,,,
blue,green,incongurent,incongurent,g,,,,,,,,,,,,,,,,
blue,yellow,incongurent,incongurent,y,,,,,,,,,,,,,,,,
blue,yellow,incongurent,incongurent,y,,,,,,,,,,,,,,,,
blue,yellow,incongurent,incongurent,y,,,,,,,,,,,,,,,,
blue,yellow,incongurent,incongurent,y,,,,,,,,,,,,,,,,
red,blue,incongurent,incongurent,b,,,,,,,,,,,,,,,,
red,blue,incongurent,incongurent,b,,,,,,,,,,,,,,,,
red,blue,incongurent,incongurent,b,,,,,,,,,,,,,,,,
red,blue,incongurent,incongurent,b,,,,,,,,,,,,,,,,
red,green,incongurent,incongurent,g,,,,,,,,,,,,,,,,
red,green,incongurent,incongurent,g,,,,,,,,,,,,,,,,
red,green,incongurent,incongurent,g,,,,,,,,,,,,,,,,
red,green,incongurent,incongurent,g,,,,,,,,,,,,,,,,
red,yellow,incongurent,incongurent,y,,,,,,,,,,,,,,,,
red,yellow,incongurent,incongurent,y,,,,,,,,,,,,,,,,
red,yellow,incongurent,incongurent,y,,,,,,,,,,,,,,,,
red,yellow,incongurent,incongurent,y,,,,,,,,,,,,,,,,
green,blue,incongurent,incongurent,b,,,,,,,,,,,,,,,,
green,blue,incongurent,incongurent,b,,,,,,,,,,,,,,,,
green,blue,incongurent,incongurent,b,,,,,,,,,,,,,,,,
green,blue,incongurent,incongurent,b,,,,,,,,,,,,,,,,
green,red,incongurent,incongurent,r,,,,,,,,,,,,,,,,
green,red,incongurent,incongurent,r,,,,,,,,,,,,,,,,
green,red,incongurent,incongurent,r,,,,,,,,,,,,,,,,
green,red,incongurent,incongurent,r,,,,,,,,,,,,,,,,
green,yellow,incongurent,incongurent,y,,,,,,,,,,,,,,,,
green,yellow,incongurent,incongurent,y,,,,,,,,,,,,,,,,
green,yellow,incongurent,incongurent,y,,,,,,,,,,,,,,,,
green,yellow,incongurent,incongurent,y,,,,,,,,,,,,,,,,
yellow,blue,incongurent,incongurent,b,,,,,,,,,,,,,,,,
yellow,blue,incongurent,incongurent,b,,,,,,,,,,,,,,,,
yellow,blue,incongurent,incongurent,b,,,,,,,,,,,,,,,,
yellow,blue,incongurent,incongurent,b,,,,,,,,,,,,,,,,
yellow,red,incongurent,incongurent,r,,,,,,,,,,,,,,,,
yellow,red,incongurent,incongurent,r,,,,,,,,,,,,,,,,
yellow,red,incongurent,incongurent,r,,,,,,,,,,,,,,,,
yellow,red,incongurent,incongurent,r,,,,,,,,,,,,,,,,
yellow,green,incongurent,incongurent,g,,,,,,,,,,,,,,,,
yellow,green,incongurent,incongurent,g,,,,,,,,,,,,,,,,
yellow,green,incongurent,incongurent,g,,,,,,,,,,,,,,,,
yellow,green,incongurent,incongurent,g,,,,,,,,,,,,,,,,
